fault_type,severity,culprit,delta,fault_alone,drift_alone,ratio,anchored_eff_gap,loo_eff_gap,model_fits,measurable,shapley_p@1,shapley_mrr,anchored_p@1,anchored_mrr,loo_p@1,loo_mrr,drift_p@1,drift_mrr,stagewise_p@1,stagewise_mrr
unit_change,0.9x,agg_transactions,0.00037440153736556514,0.0003368509406977971,0.05562320185102343,0.006055943014571342,1.0842021724855044e-19,0.09421389482519626,8,False,0.0,0.16666666666666666,0.0,0.14285714285714285,0.0,0.2,1.0,1.0,0.0,0.16666666666666666
unit_change,0.7x,agg_transactions,0.0010066873194950476,-0.0001471652060587303,0.05562320185102343,0.002645752153083265,4.336808689942018e-19,0.08707265488240612,8,False,0.0,0.16666666666666666,0.0,0.14285714285714285,0.0,0.2,1.0,1.0,0.0,0.16666666666666666
unit_change,0.5x,agg_transactions,-0.0006469194705364112,-0.004150445361120858,0.05562320185102343,0.07461716015983881,0.0,0.07028173991794107,8,False,0.0,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5
unit_change,0.2x,agg_transactions,-0.02659382955342393,-0.037477428225899945,0.05562320185102343,0.6737732992479717,6.938893903907228e-18,0.015101690329064832,8,True,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5
unit_change,0.05x,agg_transactions,-0.08627083920061396,-0.09932519368929082,0.05562320185102343,1.7856791839368613,1.3877787807814457e-17,0.06693090137998448,8,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
unit_change,0.01x,agg_transactions,-0.11488439386158178,-0.12585469023518814,0.05562320185102343,2.2626293713236234,2.7755575615628914e-17,0.01672451115197504,8,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
schema_drift,drop avg_amount,encode_features,-0.0015318434581890195,-0.000993710275058013,0.05562320185102343,0.01786503189297668,2.168404344971009e-19,0.09040996416126867,8,False,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5
schema_drift,drop tenure,encode_features,-0.03048142073786908,-0.03027627299283775,0.05562320185102343,0.5443101437045499,0.0,0.1035181595789918,8,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5
schema_drift,drop total_amount,encode_features,-0.0006471955778650784,-0.0003037180612847079,0.05562320185102343,0.005460276488544496,0.0,0.09578025169944038,8,False,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5
schema_drift,drop income,encode_features,-0.03005787209604116,-0.030070849140477862,0.05562320185102343,0.5406170112432063,3.469446951953614e-18,0.10620275113342059,8,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5
schema_drift,drop income+total,encode_features,-0.030513725295296612,-0.03042178155492603,0.05562320185102343,0.5469261125313355,6.938893903907228e-18,0.10667130526978463,8,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5
schema_drift,drop income+total+tenure,encode_features,-0.06319599754816696,-0.06368001369492338,0.05562320185102343,1.1448462435779703,0.0,0.13361082119841594,8,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
predicate_flip,min_txn=2,filter_active,-0.0006066078005840803,-0.0006344946407565999,0.05562320185102343,0.011407013973341155,5.421010862427522e-20,0.09372573706851328,8,False,0.0,0.5,1.0,1.0,1.0,1.0,0.0,0.5,0.0,0.5
predicate_flip,min_txn=3,filter_active,-0.0017883471663102668,-0.003200083936627851,0.05562320185102343,0.057531458638405794,2.168404344971009e-19,0.08790705122895404,8,False,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5
predicate_flip,min_txn=4,filter_active,-0.0031603244813321885,-0.009062118626752547,0.05562320185102343,0.16291975875505646,0.0,0.08729519738912939,8,True,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5
predicate_flip,min_txn=6,filter_active,-0.01699909989010917,-0.020222929056982974,0.05562320185102343,0.3635700280459653,3.469446951953614e-18,0.08005207384214397,8,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5
