m,n,lattice,model_fits,reduction,cache_hit_rate,frontier,exact_s,mc_s,mc_max_err,delta,measurable,top_blame,culprit,correct
1,6,64,4,16.0,0.9128205128205128,2,0.03738665580749512,0.0,1.5612511283791264e-17,-0.015150653174134887,True,agg_0,agg_0,True
2,9,512,8,64.0,0.9852718215291315,3,0.20841002464294434,0.0,2.498001805406602e-16,-0.21873377731633248,True,agg_0,agg_0,True
3,12,4096,16,256.0,0.9974371491335123,4,1.5640673637390137,0.00237274169921875,2.498001805406602e-16,-0.17115686846203626,True,agg_0,agg_0,True
4,15,32768,3,10922.666666666666,0.9940656565656566,5,nan,0.20831942558288574,nan,-0.1429982897291302,True,agg_0,agg_0,True
5,18,262144,3,87381.33333333333,0.9959204865746922,6,nan,0.3414876461029053,nan,-0.12150034489869932,True,agg_0,agg_0,True
6,21,2097152,3,699050.6666666666,0.9967462039045553,7,nan,0.44057607650756836,nan,-0.11053292182533214,True,agg_0,agg_0,True
8,27,134217728,3,44739242.666666664,0.9977265532821088,9,nan,0.7339215278625488,nan,-0.08468151982989736,True,agg_0,agg_0,True
10,33,8589934592,3,2863311530.6666665,0.9982273473652784,11,nan,1.117063045501709,nan,-0.07449411894382763,True,agg_0,agg_0,True
