fault_type,severity,culprit,delta,fault_alone,drift_alone,ratio,degraded,harmful,valid,n_operators,lattice,model_fits,cache_hit_rate,frontier,anchored_eff_gap,loo_eff_gap,shapley_p@1,shapley_mrr,anchored_p@1,anchored_mrr,loo_p@1,loo_mrr,drift_p@1,drift_mrr,stagewise_p@1,stagewise_mrr
unit_change,/30,derive_time,-0.006866672865449508,-0.001647470279669494,0.006281858189761458,0.2622584321235774,True,False,False,9,512,4,0.9887372752869829,2,4.336808689942018e-19,0.0010626556039814439,0.0,0.5,1.0,1.0,0.0,0.5,1.0,1.0,0.0,0.5
unit_change,/10,derive_time,-0.007276463214891726,-0.0028866416056145816,0.006281858189761458,0.4595203391123028,True,True,True,9,512,4,0.9887372752869829,2,6.505213034913027e-19,0.0018920365804843131,0.0,0.5,1.0,1.0,0.0,0.5,1.0,1.0,0.0,0.5
unit_change,/2,derive_time,-0.007523047419306428,-0.003484065354189547,0.006281858189761458,0.5546233692234699,True,True,True,9,512,4,0.9887372752869829,2,2.168404344971009e-19,0.002242876124644577,0.0,0.5,1.0,1.0,0.0,0.5,1.0,1.0,0.0,0.5
unit_change,seconds,derive_time,-0.007560223847108305,-0.0035849831310941216,0.006281858189761458,0.5706883254603133,True,True,True,9,512,4,0.9887372752869829,2,1.3010426069826053e-18,0.0023066174737472744,0.0,0.5,1.0,1.0,0.0,0.5,1.0,1.0,0.0,0.5
predicate_flip,fare>5,filter_valid,-0.007411502318067309,-0.0009213300418861037,0.006281858189761458,0.14666520861418705,True,False,False,9,512,4,0.9878709118475201,2,2.168404344971009e-19,0.00020831408641974747,0.0,0.5,1.0,1.0,0.0,0.5,0.0,0.14285714285714285,0.0,0.5
predicate_flip,fare>10,filter_valid,-0.023951304537844442,-0.02254737691920139,0.006281858189761458,3.5892846094409503,True,True,True,9,512,4,0.9878709118475201,2,0.0,0.004877930571118405,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.16666666666666666,1.0,1.0
predicate_flip,fare>20,filter_valid,-0.03371131899118618,-0.03321910643143067,0.006281858189761458,5.288101932255192,True,True,True,9,512,4,0.9878709118475201,2,0.0,0.005789645630005946,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.16666666666666666,1.0,1.0
predicate_flip,fare>35,filter_valid,-0.016798249799219622,-0.028779356960964342,0.006281858189761458,4.581344578562858,True,True,True,9,512,4,0.9878709118475201,2,1.0408340855860843e-17,0.018262965351506177,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.2,1.0,1.0
broken_join_key,20%,join_pu_zone,-0.00556042940663215,-0.00023054944075773243,0.006281858189761458,0.03670083497483204,True,False,False,9,512,4,0.9904700021659086,2,1.0842021724855044e-19,0.00095197822388704,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.5,0.0,0.1111111111111111
broken_join_key,50%,join_pu_zone,-0.007221268015190296,0.0011194484048533404,0.006281858189761458,0.17820338680645215,True,False,False,9,512,4,0.9904700021659086,2,2.168404344971009e-19,0.002058858230282179,0.0,0.1111111111111111,1.0,1.0,0.0,0.5,0.0,0.5,0.0,0.5
broken_join_key,80%,join_pu_zone,-0.00909456724220159,0.001370321501801941,0.006281858189761458,0.21813951547575072,True,False,False,9,512,4,0.9904700021659086,2,1.734723475976807e-18,0.004183030554242073,0.0,0.5,1.0,1.0,0.0,0.5,0.0,0.5,0.0,0.5
broken_join_key,100%,join_pu_zone,0.004790894072841834,0.0005007587091567789,0.006281858189761458,0.07971506105835768,False,False,False,9,512,4,0.9904700021659086,2,6.938893903907228e-18,0.010571993553446513,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.5,0.0,0.1111111111111111
join_fanout,20%,join_do_zone,-0.004930310196480048,0.0004026700647350445,0.006281858189761458,0.06410047036581308,True,False,False,9,512,4,0.9913363656053714,2,6.505213034913027e-19,0.0009488779285463655,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,1.0,1.0,0.0,0.1111111111111111
join_fanout,50%,join_do_zone,-0.004394293536740146,0.00134064046732707,0.006281858189761458,0.21341463414633025,True,False,False,9,512,4,0.9913363656053714,2,1.734723475976807e-18,0.000546924185694242,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,1.0,1.0,0.0,0.1111111111111111
join_fanout,100%,join_do_zone,-0.00627883472389712,3.9386405092933785e-06,0.006281858189761458,0.0006269865365176193,True,False,False,9,512,4,0.9913363656053714,2,4.235164736271502e-22,9.151746449553855e-07,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,1.0,1.0,0.0,0.1111111111111111
schema_drift,drop hour,encode,-0.012104870409417323,-0.005072794979792072,0.006281858189761458,0.8075309608325785,True,True,True,9,512,4,0.9930690924842972,2,3.469446951953614e-18,0.000750217239863793,0.0,0.5,1.0,1.0,0.0,0.5,1.0,1.0,0.0,0.5
schema_drift,drop distance,encode,-0.006696745271084659,8.213184008643015e-05,0.006281858189761458,0.013074449884954974,True,False,False,9,512,4,0.9930690924842972,2,1.6263032587282567e-19,0.000497018921409631,0.0,0.5,1.0,1.0,0.0,0.5,1.0,1.0,0.0,0.5
schema_drift,drop distance+duration,encode,-0.007550404362120955,-0.0017948631107075341,0.006281858189761458,0.2857216856045728,True,False,False,9,512,4,0.9930690924842972,2,2.168404344971009e-19,0.0005263169383480371,0.0,0.5,1.0,1.0,0.0,0.5,1.0,1.0,0.0,0.5
schema_drift,drop distance+duration+fare,encode,-0.031125530316590377,-0.026341947472301563,0.006281858189761458,4.193336856160685,True,True,True,9,512,4,0.9930690924842972,2,2.7755575615628914e-17,0.0014982753454726438,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
